student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,study_efficiency,health_score,engagement_score
S1019,19,1,1.8,2.5,2.4,0,71.1,7.5,0,1,1,0,2,0,45.3,0.30508474576271183,0.6388888888888888,0.5703333333333332
S1020,22,0,3.8,2.3,2.9,0,83.0,6.4,1,3,2,1,1,0,58.5,0.6129032258064516,0.5466666666666667,0.61
S1021,21,1,5.6,2.1,2.4,0,95.6,7.2,0,1,1,1,3,0,82.5,1.018181818181818,0.6288888888888889,0.652
S1022,18,2,4.9,2.3,0.6,0,84.5,6.0,0,3,1,0,7,0,98.7,1.2564102564102566,0.7000000000000001,0.615
S1023,24,0,1.1,4.1,1.4,1,90.0,9.0,0,6,0,1,1,0,43.7,0.16923076923076924,0.9666666666666667,0.3
S1024,20,0,2.0,0.0,0.9,1,81.8,5.5,0,4,0,0,2,0,54.9,1.0526315789473684,0.7388888888888889,0.27266666666666667
S1025,22,1,4.9,4.3,3.3,0,74.7,9.0,0,1,1,0,2,1,69.9,0.5697674418604651,0.6888888888888888,0.9156666666666666
S1026,22,1,2.0,0.8,0.5,0,83.8,6.5,1,4,0,2,4,0,73.5,0.8695652173913044,0.6055555555555555,0.6126666666666667
S1027,18,1,3.2,2.2,2.8,1,88.1,4.8,0,5,0,0,3,0,71.1,0.5333333333333333,0.7711111111111112,0.29366666666666663
S1028,24,1,4.3,2.0,2.8,1,78.4,8.1,1,5,1,2,3,1,82.8,0.7413793103448276,0.7144444444444445,0.5946666666666667
S1029,20,0,2.0,3.2,3.8,1,82.6,6.7,2,6,1,2,10,1,75.7,0.25,0.5566666666666666,0.6086666666666667
S1030,21,0,3.7,0.6,1.3,0,75.6,7.5,0,2,2,0,5,0,70.6,1.2758620689655171,0.6944444444444443,0.5853333333333333
S1031,17,2,1.5,3.1,2.6,1,96.2,8.0,0,4,0,0,3,1,51.3,0.2238805970149254,0.8222222222222223,0.654
S1032,20,2,2.6,4.9,4.3,0,82.1,6.9,1,3,0,1,7,0,52.1,0.25490196078431376,0.5633333333333334,0.607
S1033,18,0,4.0,0.9,1.1,0,99.5,5.8,2,2,3,0,5,0,70.7,1.3333333333333333,0.30444444444444446,0.665
S1034,22,0,1.1,2.7,0.1,0,100.0,7.7,0,1,1,1,4,0,51.2,0.2894736842105263,0.6455555555555555,0.6666666666666666
S1035,21,0,4.2,1.7,0.0,1,84.2,6.5,1,1,0,0,3,0,72.6,1.5555555555555556,0.4388888888888889,0.2806666666666667
S1036,20,0,3.5,3.0,2.6,0,74.9,7.3,0,3,1,1,4,0,70.7,0.5303030303030303,0.7433333333333333,0.5830000000000001
S1037,17,1,4.3,2.5,0.0,1,64.1,3.9,1,0,1,0,2,0,59.4,1.2285714285714284,0.2966666666666667,0.21366666666666664
S1038,17,1,3.8,1.7,1.4,0,70.3,7.0,2,0,0,1,1,0,58.1,0.926829268292683,0.2333333333333333,0.5676666666666667
S1039,19,1,5.5,3.1,2.3,0,71.3,5.7,1,1,1,0,3,0,82.3,0.8593750000000001,0.41222222222222227,0.5710000000000001
S1040,19,0,3.7,4.7,2.0,0,98.8,8.5,1,6,0,1,2,0,69.7,0.4805194805194805,0.7833333333333333,0.6626666666666666
S1041,23,0,2.9,2.3,2.3,0,86.2,7.2,1,6,0,0,1,0,66.0,0.5178571428571429,0.7399999999999999,0.6206666666666667
S1042,18,1,3.7,3.4,2.0,0,88.9,6.8,0,3,1,2,1,1,63.5,0.578125,0.7266666666666666,0.9630000000000001
S1043,24,0,4.3,0.9,3.2,0,62.8,7.1,2,0,0,1,2,0,65.7,0.8431372549019608,0.23666666666666666,0.5426666666666667
S1044,20,0,3.6,1.4,0.8,0,73.0,5.3,1,4,1,2,9,0,78.5,1.125,0.5655555555555556,0.5766666666666667
S1045,20,1,3.6,3.1,1.1,0,93.9,8.4,0,1,0,0,5,1,75.1,0.6923076923076924,0.668888888888889,0.9796666666666667
S1046,24,1,2.4,4.3,1.0,0,87.9,8.9,2,5,1,0,9,1,71.0,0.38095238095238093,0.5744444444444444,0.9596666666666667
S1047,23,0,2.5,2.9,2.7,0,83.5,7.0,1,4,3,1,8,1,59.7,0.3787878787878788,0.6222222222222222,0.945
S1048,22,0,1.4,2.1,2.8,0,90.6,8.4,0,3,0,1,6,0,52.6,0.23728813559322032,0.7799999999999999,0.6353333333333333
S1049,22,0,6.1,2.5,2.3,0,100.0,5.8,2,5,1,0,1,0,96.5,1.0517241379310345,0.4711111111111111,0.6666666666666666
S1050,23,0,1.6,1.0,3.1,0,82.8,5.5,0,4,2,1,10,1,62.0,0.3137254901960785,0.7388888888888889,0.9426666666666667
S1051,22,0,2.5,3.2,0.5,0,85.7,6.5,2,0,1,0,5,0,59.7,0.5319148936170213,0.21666666666666667,0.619
S1052,19,0,2.4,3.6,3.6,0,86.9,7.0,0,6,1,0,1,0,48.4,0.29268292682926833,0.9,0.6230000000000001
S1053,20,0,4.8,2.0,3.5,0,100.0,6.0,1,0,0,1,7,1,70.6,0.7384615384615384,0.3666666666666667,1.0
S1054,23,0,3.1,1.9,2.6,1,64.0,7.1,0,5,1,1,10,0,68.1,0.5636363636363636,0.8477777777777779,0.21333333333333335
S1055,20,1,5.4,2.8,3.8,0,91.8,6.9,1,2,1,1,8,0,87.2,0.7105263157894738,0.5077777777777778,0.6393333333333333
S1056,24,1,2.5,2.0,0.0,0,83.9,5.3,1,6,0,0,8,0,66.7,0.8333333333333334,0.6766666666666667,0.613
S1057,17,1,3.9,2.4,1.2,0,90.7,7.1,1,1,0,0,7,1,75.2,0.8478260869565218,0.45888888888888885,0.969
S1058,19,0,2.2,5.0,1.0,0,78.4,7.5,2,5,2,0,2,1,46.4,0.31428571428571433,0.5277777777777778,0.9279999999999999
S1059,21,0,6.7,2.2,2.6,0,84.5,6.7,1,3,2,0,5,1,97.1,1.1551724137931034,0.5566666666666666,0.9483333333333333
S1060,19,0,1.7,2.1,0.6,1,92.1,7.9,0,1,1,0,4,0,61.2,0.45945945945945943,0.6522222222222221,0.307
S1061,23,1,4.0,1.7,2.6,0,100.0,5.0,0,4,0,1,5,0,75.0,0.7547169811320754,0.7222222222222222,0.6666666666666666
S1062,21,1,4.5,3.4,3.3,1,93.1,7.1,1,6,1,1,10,0,94.7,0.5844155844155844,0.7366666666666667,0.3103333333333333
S1063,17,1,4.1,2.3,2.6,1,76.5,5.1,0,3,0,0,9,0,77.6,0.6949152542372881,0.6699999999999999,0.255
S1064,23,1,3.2,1.7,2.1,0,80.8,5.2,1,3,1,2,4,1,68.6,0.6666666666666666,0.5066666666666667,0.9359999999999999
S1065,18,0,3.3,4.1,0.7,0,80.5,5.7,2,0,2,1,8,0,69.6,0.5689655172413793,0.19000000000000003,0.6016666666666667
S1066,20,1,3.6,4.2,0.9,0,67.0,5.4,1,4,0,0,8,0,66.5,0.5901639344262295,0.5688888888888889,0.5566666666666666
S1067,17,1,3.3,1.8,3.2,0,81.7,5.8,2,0,2,1,2,0,62.2,0.5499999999999999,0.19333333333333333,0.6056666666666667
S1068,20,0,4.9,0.3,2.7,1,92.3,6.2,1,0,0,2,6,0,82.1,1.225,0.37333333333333335,0.30766666666666664
S1069,22,1,6.8,3.7,1.8,0,72.3,7.5,2,6,2,0,5,0,100.0,1.0461538461538462,0.5833333333333334,0.5743333333333333
S1070,18,0,2.7,1.7,1.3,0,95.5,6.1,2,2,0,1,2,1,59.7,0.675,0.31444444444444447,0.985
S1071,18,0,1.4,3.4,0.0,0,89.9,4.6,0,0,1,2,10,1,55.1,0.3181818181818181,0.48666666666666664,0.9663333333333334
S1072,17,1,3.4,0.1,0.6,0,77.7,7.9,0,1,1,0,4,1,77.1,1.9999999999999998,0.6522222222222221,0.9256666666666667
S1073,18,0,7.4,3.6,3.9,0,83.6,5.5,0,3,1,0,7,1,97.7,0.8705882352941177,0.6833333333333332,0.9453333333333332
S1074,21,0,2.3,1.0,0.4,0,100.0,6.4,0,6,3,1,1,0,66.9,0.9583333333333333,0.88,0.6666666666666666
S1075,18,0,6.0,3.4,2.0,1,92.3,7.0,0,0,0,1,9,1,99.9,0.9375,0.5666666666666667,0.641
S1076,20,1,6.0,2.5,2.9,0,85.1,6.7,2,5,0,0,10,1,100.0,0.9375,0.5011111111111112,0.9503333333333334
S1077,20,0,2.7,1.4,0.4,0,82.6,7.8,0,1,0,2,1,0,57.2,0.9642857142857144,0.648888888888889,0.6086666666666667
S1078,23,0,4.4,2.0,2.0,1,85.8,7.1,1,4,2,1,5,0,77.3,0.8800000000000001,0.6255555555555555,0.286
S1079,20,1,5.9,3.3,2.8,1,79.9,5.5,1,3,2,0,7,0,91.6,0.8309859154929579,0.5166666666666667,0.26633333333333337
S1080,23,1,2.9,2.6,1.8,0,64.0,9.1,1,6,1,1,8,0,70.7,0.537037037037037,0.8033333333333333,0.5466666666666667
S1081,20,2,3.2,3.2,5.0,0,100.0,6.7,1,5,1,2,2,0,57.6,0.3478260869565218,0.6677777777777778,0.6666666666666666
S1082,21,0,2.6,4.9,0.0,1,86.6,6.3,0,6,1,2,4,0,60.2,0.4406779661016949,0.8766666666666666,0.2886666666666667
S1083,24,1,2.0,0.6,3.0,0,89.0,7.7,2,6,1,1,2,1,50.5,0.4347826086956522,0.59,0.9633333333333334
S1084,23,0,2.5,4.4,1.6,0,84.4,6.8,0,5,0,0,4,0,51.3,0.35714285714285715,0.8377777777777777,0.6146666666666667
S1085,19,1,1.7,2.6,2.6,0,77.6,7.0,1,4,0,1,6,0,53.5,0.27419354838709675,0.6222222222222222,0.592
S1086,22,1,3.6,1.4,2.3,0,83.1,9.5,1,5,0,2,6,0,79.2,0.7659574468085107,0.7611111111111111,0.6103333333333333
S1087,17,1,2.3,0.9,1.0,0,69.0,6.2,0,1,2,0,2,1,47.2,0.793103448275862,0.5955555555555555,0.8966666666666666
S1088,20,1,3.9,2.3,2.1,0,100.0,6.1,2,6,0,1,4,0,73.4,0.7222222222222222,0.5366666666666666,0.6666666666666666
S1089,18,1,1.2,3.6,0.0,0,72.7,6.6,2,4,1,0,4,1,41.1,0.2608695652173913,0.44222222222222224,0.9089999999999999
S1090,24,1,4.0,2.3,2.5,0,74.7,7.8,0,6,0,1,1,0,77.8,0.6896551724137931,0.9266666666666667,0.5823333333333333
S1091,20,0,4.8,4.3,2.1,0,80.6,4.7,0,5,1,0,2,0,63.4,0.6486486486486486,0.7677777777777779,0.602
S1092,18,1,0.5,0.8,2.5,1,97.9,4.1,2,4,1,1,3,0,43.9,0.11627906976744186,0.35888888888888887,0.32633333333333336
S1093,22,1,4.1,2.5,3.0,0,85.1,5.8,1,4,3,1,5,0,70.2,0.6307692307692307,0.5822222222222222,0.617
S1094,22,0,5.3,1.0,2.2,0,72.6,4.5,0,0,1,0,8,0,81.3,1.2619047619047619,0.48333333333333334,0.5753333333333334
S1095,22,1,1.7,2.9,2.0,0,97.5,6.0,1,0,1,1,6,0,50.2,0.28813559322033894,0.3666666666666667,0.6583333333333333
S1096,18,0,6.0,3.6,0.8,0,92.3,7.1,1,0,1,1,3,0,87.9,1.1111111111111112,0.4033333333333333,0.641
S1097,20,1,4.1,2.0,1.0,0,90.4,5.4,1,5,0,0,6,0,80.9,1.025,0.6244444444444445,0.6346666666666666
S1098,22,1,2.4,0.0,3.1,0,92.2,4.8,1,3,0,1,7,1,63.9,0.5853658536585367,0.49333333333333335,0.9740000000000001
S1099,21,1,3.4,2.7,3.4,0,100.0,6.6,1,1,1,1,6,0,65.6,0.47887323943661975,0.44222222222222224,0.6666666666666666
S1100,23,1,4.3,3.0,1.5,0,100.0,7.5,1,5,3,0,10,1,93.2,0.7818181818181817,0.6944444444444445,1.0
S1101,18,1,3.6,3.0,1.9,0,78.1,4.5,1,6,0,0,6,0,74.0,0.6101694915254237,0.65,0.5936666666666667
S1102,18,1,4.3,4.0,0.8,0,100.0,7.5,0,0,3,0,1,0,60.8,0.7413793103448276,0.5833333333333334,0.6666666666666666
S1103,20,1,2.1,1.2,3.1,0,88.8,7.5,1,4,2,0,3,0,50.4,0.3962264150943396,0.6388888888888888,0.6293333333333333
S1104,18,1,3.8,3.3,2.5,0,90.0,7.6,1,5,0,1,7,0,74.3,0.5588235294117647,0.6977777777777777,0.6333333333333333
S1105,18,1,1.4,3.9,3.9,1,68.1,8.0,1,4,1,0,4,1,32.8,0.15909090909090906,0.6555555555555556,0.5603333333333333
S1106,22,1,3.3,0.4,0.8,0,83.3,9.1,1,6,1,1,4,1,82.3,1.4999999999999998,0.8033333333333333,0.9443333333333334
S1107,20,1,2.1,2.9,1.4,0,76.9,6.1,0,4,3,0,7,0,60.4,0.39622641509433965,0.7588888888888888,0.5896666666666667
S1108,22,0,2.4,1.9,2.1,0,93.3,6.6,2,4,1,0,9,1,60.0,0.48,0.44222222222222224,0.9776666666666666
S1109,23,0,5.4,2.4,2.5,0,95.7,6.0,0,2,1,1,2,0,77.5,0.9152542372881356,0.6444444444444445,0.6523333333333333
S1110,24,1,5.1,2.9,1.6,0,64.3,6.5,0,3,0,0,9,1,86.5,0.9272727272727272,0.7166666666666667,0.8809999999999999
S1111,23,0,4.4,1.9,0.8,0,84.8,8.3,1,1,1,0,3,0,76.9,1.1891891891891893,0.4988888888888889,0.616
S1112,24,0,1.9,1.7,2.8,0,96.2,4.9,0,1,0,2,6,1,43.9,0.34545454545454546,0.5522222222222223,0.9873333333333334
S1113,22,1,3.0,2.5,2.6,0,83.1,5.5,0,0,0,0,4,0,51.3,0.49180327868852464,0.5166666666666667,0.6103333333333333
S1114,23,0,5.3,1.2,0.8,0,92.3,8.2,0,2,1,0,1,0,83.3,1.7666666666666666,0.7177777777777777,0.641
S1115,20,0,3.7,1.2,3.3,0,88.5,7.7,2,5,3,1,9,0,82.7,0.6727272727272727,0.5344444444444445,0.6283333333333333
S1116,17,1,7.0,3.3,3.1,0,88.4,6.1,1,5,3,0,6,1,94.8,0.9459459459459459,0.6477777777777778,0.9613333333333333
S1117,22,1,4.1,1.1,1.9,0,82.3,7.5,1,1,3,1,8,0,80.8,1.025,0.47222222222222215,0.6076666666666667
S1118,24,0,3.8,3.3,1.9,0,72.8,6.9,2,3,0,1,2,1,58.3,0.6129032258064516,0.39666666666666667,0.9093333333333332
S1119,21,0,3.0,3.1,2.4,1,73.8,8.3,0,4,1,0,7,0,66.3,0.46153846153846156,0.8322222222222222,0.246
S1120,24,1,3.7,0.4,0.9,0,92.1,6.6,0,6,0,0,6,0,87.9,1.6086956521739133,0.8866666666666667,0.6403333333333333
S1121,21,1,3.3,1.7,1.8,0,85.2,7.7,2,0,1,1,2,0,60.5,0.7333333333333333,0.25666666666666665,0.6173333333333333
S1122,18,1,4.6,3.9,0.0,0,83.6,9.7,2,3,1,1,2,0,84.8,0.9387755102040815,0.49,0.612
S1123,23,0,4.9,1.3,2.8,0,80.8,7.2,1,1,0,0,4,0,77.0,0.9607843137254903,0.46222222222222226,0.6026666666666666
S1124,21,0,2.3,1.9,0.1,0,81.9,6.6,0,2,0,0,4,0,61.7,0.7666666666666666,0.6644444444444444,0.6063333333333333
S1125,24,1,1.5,3.1,3.5,0,95.5,7.4,0,0,1,0,3,0,44.0,0.19736842105263158,0.58,0.6516666666666667
S1126,18,1,0.7,3.4,1.4,1,81.6,6.1,2,1,1,2,8,0,42.4,0.12068965517241377,0.2588888888888889,0.27199999999999996
S1127,17,0,4.3,2.2,1.6,0,71.6,9.4,1,5,0,1,7,0,88.0,0.8958333333333331,0.7577777777777778,0.572
S1128,20,1,1.8,1.8,1.1,0,92.4,6.7,1,0,1,1,2,0,48.7,0.46153846153846156,0.38999999999999996,0.6413333333333333
S1129,20,1,0.3,4.2,1.5,0,83.0,6.2,1,1,1,0,3,1,26.8,0.04477611940298507,0.4288888888888889,0.9433333333333334
S1130,20,0,4.1,4.6,3.4,0,85.3,5.5,2,5,0,1,10,0,81.6,0.4555555555555555,0.4611111111111111,0.6176666666666667
S1131,21,0,7.2,3.7,0.0,0,100.0,7.8,1,6,1,1,9,0,100.0,1.5319148936170213,0.7600000000000001,0.6666666666666666
S1132,17,0,3.5,2.6,3.2,1,84.8,7.5,0,5,0,0,5,1,74.0,0.5147058823529411,0.8611111111111112,0.616
S1133,21,0,4.8,1.5,2.2,0,87.9,5.9,0,4,0,2,2,1,78.4,1.0212765957446808,0.7522222222222222,0.9596666666666667
S1134,23,1,3.6,1.5,0.5,0,73.2,7.2,0,2,0,1,3,0,70.7,1.2,0.6844444444444444,0.5773333333333334
S1135,21,1,3.4,3.1,0.6,0,82.8,4.7,0,4,0,1,8,0,74.3,0.723404255319149,0.7122222222222222,0.6093333333333333
S1136,17,0,4.9,3.0,3.6,0,91.1,6.7,1,1,0,1,4,0,67.6,0.6447368421052633,0.44555555555555554,0.637
S1137,17,1,3.1,4.2,0.8,0,69.4,7.0,1,6,0,2,2,0,64.7,0.5166666666666667,0.7333333333333334,0.5646666666666667
S1138,23,1,3.9,3.3,0.5,0,87.0,8.5,0,3,2,0,2,0,64.1,0.8125,0.7833333333333333,0.6233333333333334
S1139,17,1,4.0,0.7,3.1,0,86.0,5.6,1,6,1,2,6,0,83.5,0.8333333333333334,0.6866666666666666,0.62
S1140,24,1,2.5,3.8,2.2,0,85.4,5.0,1,6,1,1,8,0,63.4,0.35714285714285715,0.6666666666666666,0.618
S1141,17,1,5.0,1.3,0.8,0,95.4,5.4,1,6,0,1,7,0,96.2,1.6129032258064517,0.68,0.6513333333333334
S1142,20,1,3.2,2.0,2.0,0,88.3,4.9,0,4,0,2,4,1,65.4,0.64,0.7188888888888889,0.961
S1143,24,1,2.4,2.8,0.7,0,99.8,8.1,0,3,3,1,2,0,62.0,0.5333333333333333,0.77,0.666
S1144,24,1,4.3,4.9,3.0,0,75.1,8.4,0,5,2,1,9,1,74.0,0.4831460674157303,0.8911111111111111,0.9169999999999999
S1145,23,0,2.2,6.2,3.0,0,86.4,6.9,1,1,3,1,4,0,46.7,0.21568627450980396,0.45222222222222225,0.6213333333333334
S1146,19,0,3.5,3.2,2.4,0,85.8,8.0,2,2,0,1,9,0,75.5,0.5303030303030303,0.37777777777777777,0.6193333333333334
S1147,19,0,3.5,2.3,2.2,0,74.3,6.7,0,3,0,2,5,1,78.1,0.6363636363636364,0.7233333333333333,0.9143333333333333
S1148,17,0,5.1,3.1,3.7,0,94.6,6.4,0,1,2,1,7,0,85.2,0.6538461538461539,0.6022222222222222,0.6486666666666666
S1149,24,0,4.2,3.6,1.8,1,100.0,6.1,0,3,3,2,5,0,75.4,0.6562500000000001,0.7033333333333333,0.3333333333333333
S1150,19,1,3.5,2.1,0.5,1,84.8,6.1,1,4,0,0,2,0,64.2,0.9722222222222222,0.5922222222222222,0.2826666666666667
S1151,19,0,4.7,4.7,2.3,0,90.1,4.6,1,1,1,1,6,0,69.7,0.5875,0.3755555555555555,0.6336666666666666
S1152,17,0,5.6,2.8,4.1,0,85.8,6.8,1,4,1,1,7,0,90.3,0.7088607594936709,0.6155555555555555,0.6193333333333334
S1153,19,0,4.3,3.1,0.7,0,77.9,6.5,1,0,3,0,6,0,81.4,0.8958333333333334,0.3833333333333333,0.593
S1154,21,1,3.5,3.3,1.4,0,66.8,7.4,0,1,0,1,3,0,65.0,0.6140350877192983,0.6355555555555555,0.5559999999999999
S1155,18,1,1.5,3.0,2.3,0,77.9,6.6,0,3,1,1,10,0,57.3,0.2380952380952381,0.7200000000000001,0.593
S1156,23,1,1.9,3.5,1.7,1,71.1,6.3,0,0,1,1,8,0,57.7,0.30645161290322576,0.5433333333333333,0.237
S1157,18,1,3.0,1.8,0.7,0,100.0,5.5,2,4,0,2,3,0,56.7,0.8571428571428571,0.4055555555555556,0.6666666666666666
S1158,17,0,2.6,1.8,3.0,0,83.8,6.6,0,4,0,1,5,1,62.3,0.4482758620689655,0.7755555555555556,0.9460000000000001
S1159,20,0,3.2,1.2,4.4,0,81.5,7.4,1,3,0,0,9,0,77.9,0.48484848484848486,0.58,0.605
S1160,23,1,3.6,3.0,2.0,0,93.9,5.1,0,0,2,0,5,0,65.2,0.6,0.5033333333333333,0.6463333333333333
S1161,17,2,4.3,3.4,0.8,0,73.8,6.6,1,6,1,0,7,0,76.8,0.8269230769230769,0.7200000000000001,0.5793333333333334
S1162,24,0,3.4,3.0,0.1,0,77.3,6.8,0,5,2,0,7,0,83.8,0.8292682926829269,0.8377777777777777,0.5910000000000001
S1163,20,1,4.2,4.5,2.1,0,85.7,5.6,2,2,2,1,5,0,70.6,0.5526315789473685,0.29777777777777775,0.619
S1164,18,1,3.6,2.5,3.0,0,95.3,5.8,2,3,1,0,2,1,63.1,0.5538461538461539,0.36000000000000004,0.9843333333333333
S1165,17,1,0.5,3.3,2.3,0,90.0,6.8,0,4,1,1,5,0,39.0,0.07575757575757576,0.7822222222222223,0.6333333333333333
S1166,24,1,2.1,1.2,1.8,0,87.5,5.1,0,1,1,0,7,0,66.7,0.525,0.5588888888888889,0.625
S1167,23,1,3.3,2.0,1.2,1,85.8,6.9,2,0,1,1,7,0,72.2,0.7857142857142856,0.23,0.286
S1168,23,1,1.7,3.3,0.6,0,89.0,5.4,0,5,0,1,4,1,50.1,0.34693877551020413,0.7911111111111112,0.9633333333333334
S1169,22,1,4.4,3.5,2.7,1,87.0,7.8,0,2,0,1,1,0,62.4,0.6111111111111112,0.7044444444444444,0.29
S1170,24,1,5.8,2.1,2.8,0,74.7,9.3,0,1,0,1,6,0,96.6,0.983050847457627,0.6988888888888889,0.5823333333333333
S1171,21,0,5.3,2.4,0.1,0,85.5,5.5,1,0,0,1,3,1,85.8,1.5142857142857142,0.35000000000000003,0.9516666666666667
S1172,19,1,3.2,0.7,3.5,0,74.3,7.1,1,5,1,1,5,0,68.3,0.6153846153846154,0.6811111111111111,0.581
S1173,20,0,5.7,2.1,2.4,0,85.8,5.6,0,3,2,1,4,1,83.8,1.0363636363636364,0.6866666666666666,0.9526666666666667
S1174,24,1,3.7,3.6,3.3,1,80.2,7.7,1,5,1,2,2,0,69.3,0.4683544303797469,0.7011111111111111,0.26733333333333337
S1175,22,2,3.0,3.2,0.3,0,100.0,5.0,1,3,2,1,7,0,65.3,0.6666666666666666,0.5,0.6666666666666666
S1176,19,1,2.6,3.1,0.3,0,84.6,7.1,1,6,1,0,5,1,77.5,0.590909090909091,0.7366666666666667,0.9486666666666667
S1177,19,1,3.0,2.6,1.6,0,71.0,5.5,0,0,2,0,7,1,55.0,0.5769230769230769,0.5166666666666667,0.9033333333333333
S1178,17,2,2.9,2.5,2.4,1,83.7,6.3,2,5,3,1,9,0,65.2,0.4915254237288135,0.4877777777777778,0.279
S1179,19,0,3.8,1.7,3.8,0,90.2,5.3,1,2,1,0,4,0,58.1,0.5846153846153845,0.45444444444444443,0.634
S1180,21,0,3.7,3.3,2.6,1,100.0,7.5,0,5,3,1,5,0,69.2,0.5362318840579711,0.8611111111111112,0.3333333333333333
S1181,23,1,3.5,3.0,1.5,1,79.1,5.5,1,0,0,0,9,0,67.4,0.6363636363636364,0.35000000000000003,0.26366666666666666
S1182,22,1,4.2,3.1,0.7,0,69.2,7.2,1,1,2,2,10,0,79.9,0.8750000000000001,0.46222222222222226,0.5640000000000001
S1183,19,0,5.3,1.9,3.2,0,93.2,6.1,0,1,1,0,4,1,85.7,0.8688524590163935,0.5922222222222222,0.9773333333333333
S1184,17,0,4.9,0.0,0.7,0,71.2,6.4,0,5,2,2,5,0,96.2,2.882352941176471,0.8244444444444445,0.5706666666666668
S1185,21,0,1.3,3.8,3.6,1,80.6,6.7,0,5,0,1,5,0,40.4,0.15476190476190477,0.8344444444444444,0.26866666666666666
S1186,18,0,0.0,1.9,1.5,0,82.4,5.6,0,3,0,0,8,0,55.2,0.0,0.6866666666666666,0.608
S1187,23,1,4.9,1.5,3.5,0,84.3,6.8,0,0,0,0,4,0,73.8,0.8166666666666668,0.5599999999999999,0.6143333333333333
S1188,23,0,1.4,3.3,2.5,0,91.9,8.3,0,3,1,2,4,1,46.5,0.20588235294117646,0.7766666666666667,0.973
S1189,22,1,3.2,2.0,1.6,0,78.2,5.6,0,2,1,0,7,1,60.5,0.6956521739130436,0.6311111111111111,0.9273333333333333
S1190,23,1,1.7,3.8,1.2,0,82.3,7.9,2,6,2,1,5,0,55.4,0.2833333333333333,0.5966666666666667,0.6076666666666667
S1191,19,1,0.8,3.2,1.4,0,84.9,8.3,1,1,2,0,6,0,45.1,0.14285714285714288,0.4988888888888889,0.6163333333333334
S1192,17,0,4.3,3.3,2.3,0,86.5,5.5,2,4,2,1,6,0,69.4,0.6515151515151515,0.4055555555555556,0.6216666666666667
S1193,23,1,4.6,0.9,1.9,0,86.0,4.8,1,4,2,1,6,0,81.3,1.2105263157894737,0.5488888888888889,0.62
