student_id,age,gender,major,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,previous_gpa,semester,stress_level,dropout_risk,social_activity,screen_time,study_environment,access_to_tutoring,family_income_range,parental_support_level,motivation_level,exam_anxiety_score,learning_style,time_management_score,exam_score
136389,17,male,business,3.2,0.9,0.7,yes,100.0,7.8,poor,6,some college,low,5.4,yes,3.87,3,4.2,no,3,5.0,co-learning group,no,medium,4,10,5,auditory,6.0,94
102825,16,male,psychology,1.9,0.4,2.1,no,100.0,9.0,fair,2,phd,low,9.0,no,3.84,7,2.7,no,2,6.3,co-learning group,no,low,7,6,9,kinesthetic,2.8,97
156309,19,male,computer science,2.702035252691552,3.0,2.0,no,100.0,4.8,good,4,master,low,7.6,no,3.82,3,3.8,no,4,9.0,dorm,no,high,5,10,5,visual,3.4,98
177684,25,other,business,3.4,1.8,0.2,no,100.0,7.8,good,3,high school,high,6.2,no,3.8,4,4.7,no,0,5.4,library,no,high,1,5,10,reading,5.0,96
112632,17,male,psychology,6.6,2.6,3.5,yes,100.0,9.5,good,2,master,high,6.6,no,3.76,8,6.2,no,2,13.6,cafe,no,low,4,9,6,auditory,1.4,96
168236,25,male,biology,3.1,2.1,3.0,no,100.0,8.7,good,3,some college,low,6.1,no,3.7,2,5.5,no,5,8.8,cafe,yes,low,9,3,10,kinesthetic,5.1,87
119240,23,other,psychology,5.0,4.9,2.9,no,100.0,7.9,good,3,high school,low,6.1,no,3.67,2,3.5,no,3,14.6,cafe,no,low,3,9,6,visual,2.1,100
156720,16,other,computer science,4.650966209669614,1.5,4.0,yes,100.0,8.2,poor,3,master,high,7.3,yes,3.63,7,2.8,no,0,11.2,library,no,medium,4,6,9,visual,5.6,90
120349,17,female,psychology,3.4,1.5,2.8,no,100.0,7.0,fair,4,some college,high,5.2,no,3.61,2,7.3,no,2,8.4,dorm,yes,high,6,7,8,kinesthetic,4.6,96
120041,23,female,computer science,3.187818179295501,2.4,0.3,no,100.0,9.5,good,7,phd,high,6.9,no,3.6,8,5.8,no,3,6.0,quiet room,yes,high,10,10,5,visual,6.4,85
130658,18,other,engineering,6.0,2.9,2.8,no,100.0,7.4,fair,6,high school,medium,5.0,yes,3.59,1,2.0,no,4,12.1,dorm,yes,high,7,9,6,auditory,3.9,76
133377,24,other,psychology,3.0,3.5,0.0,yes,100.0,5.1,fair,5,bachelor,high,8.9,yes,3.57,5,6.6,no,5,7.1,cafe,yes,low,2,9,6,kinesthetic,8.9,85
107614,22,other,business,2.6,2.0,1.1,yes,100.0,7.6,fair,6,high school,medium,4.9,no,3.56,8,3.3,no,1,7.4,co-learning group,no,low,9,3,10,visual,4.1,93
129971,19,other,business,3.9,2.5,1.3,no,100.0,8.3,fair,3,master,medium,6.1,no,3.46,3,5.4,no,3,8.4,dorm,no,low,1,7,8,auditory,3.6,89
159550,19,female,computer science,8.299471671580761,2.8,2.5,no,100.0,8.0,poor,7,master,low,7.0,yes,3.44,1,6.9,no,4,14.3,cafe,no,low,10,4,10,kinesthetic,2.8,85
159185,26,female,business,2.2,1.2,0.8,no,100.0,6.7,good,7,high school,medium,4.7,yes,3.44,3,4.0,no,2,4.6,library,yes,medium,2,4,10,auditory,1.7,73
160847,16,male,arts,1.2,5.0,3.3,no,100.0,8.5,good,1,some college,high,5.2,yes,3.43,2,6.4,no,4,10.3,cafe,no,high,4,7,8,kinesthetic,9.6,83
173625,17,female,engineering,2.5,1.2,1.0,no,100.0,7.5,good,5,phd,medium,3.1,yes,3.42,7,5.5,no,5,5.8,quiet room,no,low,2,2,10,visual,9.3,80
155601,24,male,business,6.6,2.5,1.3,no,100.0,6.2,good,2,bachelor,low,6.8,no,3.22,3,2.8,no,4,12.0,quiet room,no,medium,9,1,10,reading,3.0,82
127197,27,other,biology,4.9,0.6,3.6,yes,100.0,5.9,good,2,master,high,7.9,yes,3.21,5,6.0,no,4,9.9,co-learning group,no,high,6,3,10,kinesthetic,7.4,78
117722,23,male,business,5.0,1.1,1.3,no,100.0,8.0,poor,0,master,medium,4.9,no,3.18,2,3.7,no,3,8.4,co-learning group,yes,high,8,4,10,reading,2.8,78
102730,26,female,psychology,0.2,0.6,3.5,no,100.0,7.9,good,0,master,high,5.5,yes,3.12,4,4.8,no,4,4.9,library,no,high,1,6,9,auditory,8.9,83
167492,20,female,computer science,3.654079112565338,0.8,1.9,no,100.0,8.3,good,3,high school,high,9.2,no,3.11,1,7.3,no,5,7.4,cafe,no,medium,8,2,10,visual,9.5,76
108144,20,male,arts,1.9,2.0,2.8,yes,100.0,5.9,fair,3,some college,medium,10.0,yes,3.11,7,1.0,no,3,7.9,co-learning group,yes,low,2,1,10,auditory,4.2,80
160167,19,male,psychology,3.2,2.5,3.3,no,100.0,8.1,poor,2,high school,medium,6.7,yes,2.98,7,2.9,no,0,9.5,cafe,no,medium,2,5,10,auditory,2.1,72
128402,20,female,computer science,2.8264028983609144,1.9,2.4,yes,100.0,6.2,fair,1,master,high,4.0,yes,2.94,6,6.2,no,4,7.8,cafe,no,low,5,1,10,auditory,7.8,74
125702,25,female,computer science,3.646538349830612,0.9,2.7,no,100.0,6.0,good,1,some college,high,5.4,yes,2.9,5,3.4,no,5,7.3,quiet room,no,medium,5,2,10,kinesthetic,6.2,77
136168,17,male,computer science,3.746437040005076,4.1,1.9,no,100.0,5.3,fair,6,some college,high,4.8,no,2.79,2,5.9,no,3,10.5,dorm,no,medium,4,9,6,reading,5.8,70
114646,23,other,psychology,6.0,1.2,1.3,no,100.0,8.6,fair,5,bachelor,medium,8.9,no,2.73,5,6.6,no,5,8.9,dorm,no,low,1,1,10,auditory,1.2,67
164391,18,male,biology,4.1,1.4,3.3,yes,100.0,5.8,good,4,bachelor,high,1.3,yes,2.64,3,2.6,no,5,10.6,dorm,no,medium,1,5,10,auditory,5.0,67
127624,20,other,biology,5.2,4.9,1.1,yes,100.0,4.2,poor,0,phd,high,4.3,no,2.34,4,5.3,no,1,11.9,dorm,no,high,10,3,10,kinesthetic,2.7,58
119144,26,other,biology,1.5,2.7,3.4,yes,100.0,8.4,good,1,bachelor,high,5.8,yes,2.28,6,6.0,no,5,9.4,co-learning group,no,high,1,3,10,kinesthetic,4.6,54
135405,20,male,psychology,1.4,2.7,0.1,no,100.0,5.6,fair,7,bachelor,low,3.4,yes,2.27,8,4.6,no,2,5.9,cafe,no,high,5,2,10,auditory,2.9,56
100863,24,female,computer science,8.516213353500804,4.6,3.1,no,99.9,8.5,poor,1,some college,low,4.9,yes,4.0,7,4.6,no,3,17.7,cafe,yes,high,2,8,7,reading,8.5,100
160655,26,other,biology,8.2,2.8,1.7,no,99.9,10.4,fair,4,phd,high,7.4,yes,4.0,1,2.4,no,0,13.1,dorm,no,medium,2,9,6,auditory,4.3,99
168897,27,female,computer science,7.717212746411181,0.9,3.2,no,99.9,7.7,poor,5,some college,high,6.9,yes,4.0,3,6.7,no,0,12.5,dorm,yes,low,6,7,8,kinesthetic,5.3,99
168259,22,other,biology,7.6,4.3,0.8,no,99.9,10.7,poor,6,high school,medium,5.9,yes,4.0,2,8.6,no,0,13.7,co-learning group,yes,medium,9,4,10,visual,4.3,100
118477,20,male,computer science,7.469897140719425,5.0,0.4,no,99.9,8.5,good,4,high school,low,10.0,yes,4.0,6,3.5,no,0,14.1,dorm,no,high,3,10,5,auditory,6.8,96
153283,28,other,business,7.2,3.4,3.6,no,99.9,4.2,good,5,phd,high,2.4,no,4.0,2,6.0,no,2,14.7,dorm,no,low,9,7,8,visual,5.5,98
151384,22,female,computer science,6.942529858571756,3.3,0.5,no,99.9,9.0,fair,3,master,high,7.6,no,4.0,7,5.4,no,2,11.0,co-learning group,no,medium,6,2,10,visual,1.1,96
134978,27,female,computer science,6.905425169992896,0.6,2.5,no,99.9,8.4,good,4,phd,medium,6.3,yes,4.0,8,5.2,no,5,12.0,quiet room,yes,low,1,4,10,kinesthetic,7.0,97
133055,22,female,psychology,6.7,3.6,3.1,no,99.9,6.4,poor,0,bachelor,medium,2.0,yes,4.0,3,2.0,no,0,13.7,cafe,yes,medium,7,6,9,kinesthetic,4.6,97
148246,23,other,computer science,6.271979893643521,0.3,2.4,yes,99.9,8.1,poor,1,phd,high,6.6,yes,4.0,8,5.5,no,1,9.3,co-learning group,no,medium,6,9,6,kinesthetic,4.7,100
108422,18,other,business,6.2,4.4,3.3,yes,99.9,4.9,good,2,some college,high,6.6,yes,4.0,7,4.2,no,1,15.3,dorm,yes,high,10,6,9,reading,6.7,100
139555,21,male,psychology,6.2,3.5,3.2,no,99.9,5.0,good,7,master,low,7.1,yes,4.0,4,1.1,no,0,13.6,quiet room,yes,high,4,2,10,auditory,2.4,100
127332,21,other,psychology,6.1,1.8,0.2,yes,99.9,8.4,poor,1,high school,high,8.0,no,4.0,1,6.3,no,5,8.8,library,no,low,8,10,5,auditory,6.7,100
161254,19,male,computer science,6.090750710807903,0.4,0.3,no,99.9,6.5,fair,2,phd,medium,5.5,yes,4.0,1,9.3,yes,4,8.7,co-learning group,yes,low,6,1,10,reading,6.4,94
159687,27,female,business,6.0,1.9,0.8,no,99.9,5.9,good,4,high school,medium,5.5,no,4.0,2,7.0,no,4,8.8,quiet room,no,low,3,4,10,kinesthetic,7.5,98
167023,22,female,biology,5.7,1.7,3.2,yes,99.9,8.1,fair,4,some college,medium,7.1,yes,4.0,2,4.4,no,1,11.9,quiet room,no,high,3,2,10,kinesthetic,3.0,99
138283,20,male,computer science,5.653263146714121,2.3,0.7,no,99.9,6.1,good,0,some college,low,4.9,yes,4.0,4,3.2,no,4,9.1,cafe,yes,high,2,8,7,auditory,6.1,100
140473,28,male,psychology,5.5,4.8,3.2,no,99.9,6.3,good,4,bachelor,low,7.8,yes,4.0,1,3.7,no,2,14.4,co-learning group,yes,medium,5,10,5,reading,3.1,100
150839,20,other,arts,5.4,4.7,1.3,no,99.9,7.7,poor,0,phd,low,6.0,no,4.0,4,5.0,no,2,13.3,quiet room,yes,high,10,1,10,auditory,9.9,98
158585,27,other,computer science,5.309370344920605,0.0,3.2,no,99.9,7.8,fair,3,bachelor,medium,8.8,no,4.0,4,3.3,no,2,9.2,quiet room,yes,high,2,8,7,reading,9.5,87
102144,19,male,engineering,5.3,0.5,3.0,yes,99.9,6.9,fair,7,high school,medium,6.5,yes,4.0,6,1.5,no,3,8.9,co-learning group,yes,low,4,6,9,reading,2.6,98
142976,16,other,business,5.3,2.7,1.4,no,99.9,7.4,good,5,phd,low,4.5,yes,4.0,4,3.8,no,0,9.8,cafe,yes,medium,8,10,5,visual,9.9,96
177495,21,male,business,5.2,1.1,1.4,yes,99.9,5.2,good,3,some college,medium,8.6,no,4.0,2,1.0,no,0,8.7,quiet room,yes,medium,5,7,8,kinesthetic,9.2,100
175681,26,other,arts,5.1,3.5,3.0,no,99.9,9.0,fair,2,some college,low,7.2,no,4.0,2,4.8,no,1,13.4,dorm,yes,medium,10,10,5,auditory,1.2,100
124016,26,male,psychology,5.1,3.8,0.6,no,99.9,9.5,good,1,high school,low,7.7,yes,4.0,4,3.3,no,2,11.0,co-learning group,no,high,9,6,9,kinesthetic,5.1,96
145829,26,other,engineering,5.1,4.0,2.2,yes,99.9,9.6,poor,3,some college,medium,8.2,no,4.0,6,3.8,no,0,11.8,co-learning group,no,high,8,5,10,visual,9.0,94
176277,23,other,engineering,5.0,4.7,3.0,yes,99.9,6.1,fair,0,some college,low,10.0,yes,4.0,2,6.9,no,5,14.2,library,no,high,3,7,8,reading,1.3,100
122806,16,female,psychology,5.0,2.7,3.0,no,99.9,4.9,poor,7,master,medium,7.2,yes,4.0,4,4.0,no,3,12.2,library,no,high,3,4,10,kinesthetic,3.6,99
158124,21,male,psychology,4.9,0.7,2.7,yes,99.9,4.6,poor,6,some college,medium,7.9,yes,4.0,5,5.1,no,2,8.8,library,no,high,1,7,8,reading,8.7,100
173351,25,other,computer science,4.781597568602416,3.3,1.1,yes,99.9,5.7,fair,6,phd,medium,6.0,yes,4.0,8,3.8,no,2,10.1,library,no,medium,8,2,10,visual,6.0,100
142487,24,other,biology,4.7,3.2,1.5,yes,99.9,5.2,fair,2,bachelor,low,9.5,yes,4.0,2,5.8,no,5,10.7,dorm,no,medium,3,9,6,kinesthetic,7.9,90
120518,20,other,biology,4.5,3.4,0.6,yes,99.9,6.5,good,5,bachelor,high,9.9,yes,4.0,3,4.9,no,0,10.0,dorm,no,low,1,3,10,auditory,4.3,100
125491,26,other,arts,4.5,2.3,3.2,no,99.9,8.7,good,2,bachelor,medium,7.1,yes,4.0,1,8.0,no,2,10.9,co-learning group,no,low,2,7,8,visual,7.1,100
151739,21,female,business,4.5,3.4,3.8,yes,99.9,6.7,good,2,high school,medium,6.0,yes,4.0,2,2.4,no,0,12.3,cafe,no,low,7,3,10,auditory,4.2,100
125670,28,other,engineering,4.4,2.9,1.9,no,99.9,8.4,good,0,bachelor,high,5.5,no,4.0,1,5.6,no,0,10.7,dorm,yes,high,7,4,10,kinesthetic,8.1,100
171136,16,female,arts,4.4,3.0,3.1,yes,99.9,5.5,good,6,bachelor,low,5.5,yes,4.0,3,6.3,no,1,10.5,co-learning group,yes,high,6,8,7,visual,4.1,100
123044,28,male,psychology,4.4,3.5,2.5,yes,99.9,6.5,good,0,phd,high,6.9,no,4.0,3,4.4,no,4,11.8,co-learning group,yes,low,5,8,7,kinesthetic,6.4,99
127054,24,male,business,4.4,4.7,1.3,yes,99.9,6.2,good,1,some college,low,8.1,yes,4.0,8,3.2,no,5,11.6,quiet room,no,low,10,9,6,reading,4.1,96
116677,25,male,business,4.2,0.9,0.8,no,99.9,8.6,good,0,master,medium,5.7,no,4.0,8,1.0,no,2,7.7,cafe,no,high,10,1,10,auditory,1.8,97
159558,17,other,psychology,4.1,2.1,3.8,no,99.9,9.6,good,6,phd,low,7.9,yes,4.0,8,5.8,no,5,10.5,quiet room,yes,low,1,10,5,auditory,2.0,100
165106,27,other,arts,4.1,0.9,1.4,no,99.9,8.0,good,7,some college,high,5.8,no,4.0,5,5.8,no,0,6.7,library,no,high,8,6,9,kinesthetic,8.4,92
114709,24,other,arts,4.0,2.8,0.9,yes,99.9,5.7,good,2,high school,low,8.7,yes,4.0,5,6.5,no,0,9.2,co-learning group,yes,medium,8,9,6,auditory,7.9,98
154798,25,other,arts,3.9,1.4,1.0,no,99.9,4.9,poor,4,bachelor,medium,5.2,yes,4.0,3,5.8,no,5,6.3,library,yes,medium,3,8,7,auditory,3.9,100
172776,27,male,psychology,3.7,1.6,2.5,no,99.9,5.5,fair,6,high school,low,3.7,no,4.0,4,3.9,no,5,8.9,cafe,yes,low,5,10,5,auditory,6.9,92
145854,18,female,psychology,3.5,0.8,1.9,yes,99.9,6.6,good,3,some college,low,5.1,no,4.0,3,1.9,no,2,8.2,co-learning group,no,medium,5,10,5,auditory,1.6,96
179909,17,male,computer science,3.4649676302139074,0.3,3.7,yes,99.9,8.5,good,5,high school,low,10.0,yes,4.0,4,5.3,no,4,9.3,co-learning group,no,high,2,10,5,kinesthetic,8.1,99
142912,18,other,psychology,3.4,2.8,0.9,yes,99.9,6.8,good,2,master,low,5.4,yes,4.0,2,6.2,no,1,8.5,library,yes,high,3,6,9,auditory,6.4,100
169525,22,other,psychology,3.4,1.4,1.4,no,99.9,7.3,fair,4,bachelor,medium,5.4,yes,4.0,7,4.8,no,2,6.6,library,no,high,3,1,10,reading,5.1,99
103886,19,other,computer science,3.383946726089784,2.0,0.3,yes,99.9,9.3,good,0,high school,high,8.6,no,4.0,3,6.8,no,0,6.7,quiet room,yes,low,3,10,5,auditory,2.9,98
121204,18,female,psychology,3.2,1.8,3.1,yes,99.9,6.6,poor,2,some college,medium,5.3,yes,4.0,3,2.5,no,1,9.6,dorm,no,low,6,8,7,auditory,2.2,99
127604,19,female,arts,3.0,1.1,1.5,yes,99.9,8.2,good,0,high school,low,10.0,no,4.0,7,5.7,no,2,6.6,co-learning group,no,high,3,6,9,kinesthetic,6.4,99
163054,26,male,arts,3.0,2.5,3.9,no,99.9,6.7,fair,2,master,low,6.7,yes,4.0,1,2.1,no,0,11.4,cafe,no,low,7,1,10,kinesthetic,9.2,95
102835,23,male,business,3.0,0.2,1.8,no,99.9,9.4,poor,1,high school,high,5.6,yes,4.0,2,2.8,no,0,6.9,quiet room,no,high,3,2,10,kinesthetic,8.3,94
111194,24,female,business,2.3,4.2,3.3,no,99.9,6.7,good,1,phd,low,5.8,no,4.0,2,5.7,no,0,10.5,co-learning group,yes,high,9,2,10,kinesthetic,4.9,97
123329,18,male,arts,2.3,3.4,1.1,no,99.9,7.2,good,7,bachelor,low,8.5,no,4.0,1,1.0,no,2,8.2,dorm,no,low,2,6,9,kinesthetic,3.8,97
115763,18,male,business,1.9,3.8,1.0,no,99.9,4.0,good,4,some college,low,7.3,yes,4.0,5,6.7,no,5,6.9,quiet room,yes,low,9,1,10,kinesthetic,5.2,99
149797,21,female,arts,1.5,0.1,0.5,no,99.9,4.2,fair,6,high school,medium,4.9,yes,4.0,8,4.2,no,1,2.3,co-learning group,no,low,5,8,7,auditory,1.8,100
133775,22,male,computer science,1.4372431793589626,0.8,3.9,no,99.9,9.0,poor,6,high school,high,9.2,yes,4.0,8,7.8,no,2,8.0,cafe,yes,medium,10,4,10,kinesthetic,7.7,100
160997,22,female,psychology,5.1,4.5,3.2,yes,99.9,11.1,poor,7,phd,medium,8.2,no,3.97,1,4.3,no,3,12.8,cafe,yes,low,8,6,9,reading,5.2,95
118552,27,male,engineering,3.9,2.7,1.3,no,99.9,6.6,good,4,some college,medium,10.0,no,3.95,8,6.9,no,1,9.6,library,no,medium,10,6,9,visual,6.0,100
156036,23,male,engineering,2.2,0.8,3.8,yes,99.9,8.8,good,2,phd,low,6.5,no,3.95,2,4.0,no,0,8.7,cafe,yes,high,10,6,9,auditory,8.3,95
130263,24,other,computer science,3.903635330944424,4.7,1.0,yes,99.9,9.0,fair,6,phd,high,8.4,yes,3.93,4,1.4,no,0,11.0,cafe,no,medium,1,5,10,auditory,5.0,100
153528,18,other,arts,4.7,2.5,3.0,no,99.9,4.0,fair,5,bachelor,low,2.7,yes,3.91,8,1.7,no,4,11.8,library,yes,low,7,4,10,auditory,5.4,92
168585,28,other,biology,3.6,3.8,1.3,yes,99.9,7.2,fair,2,some college,medium,5.9,yes,3.88,3,2.3,no,3,8.8,library,no,medium,5,10,5,kinesthetic,6.0,94
124587,18,male,engineering,2.3,4.6,1.8,yes,99.9,8.8,good,0,bachelor,high,3.6,yes,3.88,6,7.4,no,3,10.6,library,yes,low,1,10,5,kinesthetic,7.6,100
168904,22,other,biology,5.2,1.5,1.4,yes,99.9,6.5,fair,0,master,high,10.0,no,3.87,2,2.6,no,3,8.8,quiet room,no,medium,1,4,10,visual,8.8,100
149344,19,other,business,4.8,0.1,3.4,yes,99.9,6.8,poor,5,bachelor,low,7.8,yes,3.85,8,5.3,no,4,9.2,dorm,yes,low,9,9,6,auditory,6.5,100
146499,21,other,biology,3.3,2.0,1.2,no,99.9,7.4,good,4,phd,medium,3.6,yes,3.84,4,9.4,yes,1,7.1,quiet room,yes,low,2,2,10,reading,9.4,100
126186,17,male,business,3.0,0.3,0.1,no,99.9,7.6,good,5,high school,medium,9.0,yes,3.83,1,2.7,no,0,4.2,quiet room,no,low,4,8,7,reading,2.2,100
109601,28,male,business,5.4,1.8,0.9,no,99.9,8.3,fair,1,high school,high,4.0,no,3.82,4,4.1,no,5,9.3,cafe,yes,low,3,9,6,reading,7.8,92
140560,18,other,biology,2.6,2.4,2.5,yes,99.9,6.3,good,1,master,medium,4.4,no,3.82,1,5.9,no,4,7.7,library,no,high,8,2,10,visual,3.5,98
136163,18,other,computer science,4.046664005452647,3.3,4.0,yes,99.9,6.5,poor,2,some college,medium,8.5,yes,3.78,8,7.6,no,0,12.3,library,yes,low,9,4,10,auditory,9.6,99
112617,24,male,biology,6.3,4.6,2.8,no,99.9,7.9,good,4,bachelor,low,8.3,no,3.77,1,4.8,no,0,13.8,cafe,no,low,10,4,10,auditory,8.7,92
147073,18,male,computer science,5.605755859622091,1.5,0.3,no,99.9,6.2,poor,2,bachelor,medium,6.9,no,3.76,6,3.2,no,5,9.0,library,yes,high,3,10,5,auditory,1.8,90
167311,23,other,arts,5.5,1.2,2.0,no,99.9,7.7,poor,2,bachelor,high,7.7,no,3.75,1,4.3,no,1,10.4,quiet room,yes,low,2,8,7,visual,9.9,88
163065,20,male,business,5.4,4.4,2.9,yes,99.9,8.1,poor,0,bachelor,high,8.7,yes,3.75,1,6.6,no,3,14.5,library,no,low,4,1,10,visual,7.7,93
164456,17,male,psychology,6.5,3.4,4.0,yes,99.9,7.2,fair,0,master,low,9.1,no,3.73,1,2.3,no,3,14.1,cafe,yes,high,9,9,6,visual,9.6,88
144854,25,male,psychology,5.4,4.5,0.6,no,99.9,5.9,poor,2,some college,medium,7.0,yes,3.73,5,7.9,no,4,11.1,dorm,no,medium,7,1,10,auditory,5.9,89
